0.074313,0.090109,0.116947,-0.035910,-0.052299,-0.111162,-0.135531,-0.197316,0.014955,-0.162982,0.037529,-0.066598,-0.179299,-0.059504,-0.114505,-0.203135,-0.018722,0.064381,-0.166646,0.035356,-0.102248,-0.011084,0.128360,-0.008026,0.025748,-0.011025,0.043200,-0.002241,-0.014602,-0.171663,-0.090997,-0.085703,-0.171957,-0.237008,-0.183154,-0.031128,-0.077212,-0.110884,0.027723,-0.025629,-0.222170,-0.093846,0.077560,0.025065,-0.079123,-0.040486,0.101954,0.089201,-0.002964,0.038422
-0.013312,-0.155297,0.085581,0.101388,-0.016042,-0.072616,-0.081404,0.067354,0.134057,0.123626,0.009995,0.026623,-0.009861,-0.004866,-0.093298,0.048181,0.021185,0.008620,-0.150052,0.103930,0.029333,-0.035311,-0.108338,-0.057670,-0.149990,-0.161376,-0.216284,-0.132314,-0.161658,-0.125773,-0.020012,0.126443,0.077384,0.076540,-0.067791,0.164465,-0.012150,-0.089653,-0.006784,0.006931,0.055195,0.074104,-0.059909,0.060043,-0.127331,-0.134820,-0.210723,-0.081532,-0.152482,0.001861
0.009735,-0.105630,-0.246973,-0.030348,-0.193236,-0.010254,-0.057524,-0.174143,0.024992,-0.130987,0.046225,-0.179014,-0.053924,-0.071086,0.135110,-0.221815,-0.163716,0.024784,-0.021425,0.005457,0.036930,0.043863,-0.012705,0.086839,0.135963,-0.111817,0.073025,-0.072757,-0.176635,-0.018644,-0.133860,0.103325,-0.094190,0.088094,-0.114159,-0.005528,0.006105,0.092257,0.134457,0.053181,-0.213477,0.139954,0.192823,0.027176,-0.009781,0.061305,0.033681,0.183660,0.150565,0.070808
-0.052731,-0.039371,-0.208009,0.007068,-0.089027,0.003411,-0.137762,0.009607,-0.033421,-0.082174,-0.072957,-0.041001,0.036866,0.050895,-0.168636,-0.059553,-0.052315,-0.071759,-0.173449,0.000435,-0.166709,0.043559,-0.028998,-0.100599,-0.077298,-0.095877,0.004673,0.002880,0.044540,0.044008,-0.107857,0.070674,-0.005162,-0.029083,0.085494,-0.077964,-0.114239,-0.106566,-0.052404,-0.120928,-0.074657,-0.003118,0.042085,-0.108477,0.073521,-0.110731,0.058474,-0.193528,0.001567,-0.016381
0.138611,0.097267,0.121432,0.157910,0.076309,-0.082678,0.067441,-0.060052,0.140387,0.107353,0.116447,0.051590,-0.174057,0.112039,-0.084103,-0.173134,-0.065070,0.008376,-0.087257,0.044598,0.023751,-0.051751,-0.125417,-0.078847,0.106318,-0.011664,-0.101673,0.027633,0.041825,-0.061973,-0.172377,0.010910,-0.192893,0.011960,-0.065564,-0.176831,0.006495,-0.009993,-0.040380,-0.085580,-0.162297,-0.018856,0.028192,-0.160127,-0.161352,-0.018457,-0.085999,-0.101547,0.012457,-0.123624
0.070102,0.003143,0.120391,0.043524,0.048379,0.176720,0.031917,0.010360,0.052785,0.080689,0.022596,-0.025013,-0.061144,-0.048683,0.064838,0.072546,-0.066480,-0.074909,-0.024003,0.113476,-0.174169,-0.034637,0.170518,0.179337,-0.007997,-0.010954,0.063604,-0.005756,-0.032850,-0.054677,0.063023,0.037749,-0.006858,-0.187291,0.025900,-0.151051,0.014637,0.042325,0.093890,0.090312,-0.111493,-0.199942,-0.005612,0.017124,0.129541,-0.097028,-0.069967,0.140337,0.154446,-0.056520
0.045470,-0.151570,0.010388,-0.091364,-0.250555,-0.110956,-0.177043,-0.172825,-0.263280,-0.166122,-0.120795,-0.163673,0.016159,0.005632,-0.059118,0.028733,0.076082,0.029156,-0.064839,-0.048293,0.065313,0.106473,0.066477,-0.007855,0.161748,-0.024977,-0.189336,-0.205172,-0.195472,-0.172893,-0.101575,-0.197398,0.041049,-0.070599,-0.289018,-0.193311,0.060303,-0.171894,-0.074233,-0.049937,-0.051973,0.135835,-0.020149,-0.096670,0.069578,0.016512,0.103720,-0.030346,-0.093826,0.167544
0.034187,-0.044223,0.030722,-0.100291,-0.101540,-0.250961,-0.205440,-0.183612,-0.130508,-0.178783,-0.167205,-0.173178,-0.177859,-0.168785,-0.319764,0.001599,-0.054307,-0.205835,-0.108643,-0.039121,0.122515,0.102705,-0.029919,0.061814,-0.189730,-0.051204,0.135114,0.050209,0.107735,0.146359,-0.114522,0.029685,-0.104016,-0.066728,0.105382,-0.192556,-0.227761,-0.285366,-0.089385,-0.165742,-0.027949,-0.035359,-0.111892,0.009947,-0.102922,-0.026426,0.143616,-0.062664,0.158851,-0.144939
0.125161,-0.070056,-0.158038,0.026367,-0.131703,-0.121658,-0.200000,-0.104511,-0.148466,-0.045892,0.056070,-0.172593,0.031294,-0.112571,0.077237,0.069065,0.054998,-0.044290,-0.055945,-0.143398,0.140173,-0.065064,-0.100720,-0.110351,0.025011,0.154136,0.060156,-0.079518,-0.243866,-0.147342,0.023593,-0.079024,0.024509,0.054346,-0.018283,-0.015399,-0.169599,-0.039924,0.047246,0.040950,0.030269,0.123406,-0.159861,-0.044384,-0.127959,0.010809,-0.035761,-0.048957,-0.024454,-0.104078
0.055059,-0.041697,-0.048039,-0.111736,-0.034404,0.031140,-0.049686,0.098023,0.068030,-0.172445,-0.052991,-0.045193,0.075614,-0.037504,-0.186199,0.220179,-0.032633,0.162136,0.064854,-0.144136,0.179545,0.090492,0.127539,-0.047288,-0.057210,0.129577,-0.061673,0.144860,-0.050608,-0.136099,0.012541,0.030569,-0.008638,0.078801,-0.048163,0.113546,-0.028652,-0.066478,-0.058395,-0.134164,0.157566,-0.111863,-0.046304,0.010294,-0.116883,0.156181,0.051779,-0.005628,0.156628,-0.136566
-0.157152,-0.121661,0.021398,0.065948,0.044264,-0.029409,0.002678,-0.063569,0.155433,0.050739,0.048496,-0.099836,-0.066679,-0.143287,0.109199,-0.192592,-0.026767,-0.135522,-0.018430,-0.060188,-0.107034,-0.132172,-0.097382,-0.133083,-0.070957,-0.068144,-0.018443,0.075045,0.088395,0.110359,-0.075112,-0.137292,-0.049709,-0.085695,-0.141270,0.013265,-0.158562,-0.071483,-0.005910,-0.165275,0.060141,0.048575,-0.089197,-0.029749,-0.068806,0.031235,-0.074105,-0.072240,-0.025400,-0.125135
-0.184782,0.007017,0.040521,0.025453,0.006119,-0.149157,-0.038547,-0.045922,-0.013654,0.071139,-0.099893,-0.243273,-0.100616,0.103786,0.007160,-0.078953,-0.127395,0.076297,-0.143988,0.057535,-0.144504,-0.064086,0.038266,-0.063699,-0.149852,-0.115593,0.075396,0.198927,0.155897,0.062272,0.153736,0.040075,-0.013871,0.026611,0.150332,0.015344,-0.001347,0.059251,0.130813,0.179446,0.073413,-0.003082,-0.083348,0.071818,0.192782,-0.000599,-0.193189,0.173986,-0.100753,0.077571
